"agency_raw","agency_canonical","agency_group","match_method"
"Across the International Division, we work on international education policy challenges and high profile initiatives that support the sustainable development and growth of our international education sector. The Division has multiple current and expected vacancies for APS 4 Policy Officers. These positions are responsible for contributing to the development and implementation of innovative and high quality strategic policy, undertaking research using a range of sources, and analysing and presenting findings, including through the use of data and evidence. Positions will also be responsible for supporting bilateral and multilateral engagement, liaising with international and domestic stakeholders, and managing discrete projects.","Department of Education","Education department","manual"
"Administrative Appeals Tribunal","Administrative Appeals Tribunal","Administrative review body","exact"
"Aged Care Quality and Safety Commission","Aged Care Quality and Safety Commission","Aged Care Quality and Safety Commission","exact"
"Agriculture, Water and the Environment","","","division_required"
"Agriculture, Water and the Environment Australian Pesticides and Veterinary Medicines Authority","Australian Pesticides and Veterinary Medicines Authority","Australian Pesticides and Veterinary Medicines Authority","portfolio_strip"
"Agriculture, Water and the Environment Bureau of Meteorology","Bureau of Meteorology","Bureau of Meteorology","portfolio_strip"
"Agriculture, Water and the Environment Department of Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Agriculture department","portfolio_strip"
"Agriculture, Water and the Environment Department of Climate Change, Energy, the Environment and Water (DCCEEW)","Department of Climate Change, Energy, the Environment and Water","Climate and environment department","portfolio_strip"
"Asbestos Safety and Eradication Agency","Asbestos and Silica Safety and Eradication Agency","Asbestos and Silica Safety and Eradication Agency","manual"
"Asbestos and Silica Safety and Eradication Agency","Asbestos and Silica Safety and Eradication Agency","Asbestos and Silica Safety and Eradication Agency","exact"
"Attorney-General's Department","Attorney-General's Department","Attorney-General's Department","exact"
"Attorney-General’s","Attorney-General's Department","Attorney-General's Department","portfolio_only"
"Attorney-General’s Attorney-General's Department","Attorney-General's Department","Attorney-General's Department","portfolio_strip"
"Attorney-General’s National Anti-Corruption Commission","National Anti-Corruption Commission","NACC","portfolio_strip"
"Austrade","Austrade","Austrade","exact"
"Australian Antarctic","Department of Climate Change, Energy, the Environment and Water","Climate and environment department","manual"
"Australian Antarctic Division","Department of Climate Change, Energy, the Environment and Water","Climate and environment department","manual"
"Australian Building and Construction Commission","Australian Building and Construction Commission","Australian Building and Construction Commission","exact"
"Australian Bureau of Statistics","Australian Bureau of Statistics","Australian Bureau of Statistics","exact"
"Australian Centre for International Agricultural","Australian Centre for International Agricultural Research","Australian Centre for International Agricultural Research","manual"
"Australian Centre for International Agricultural Research (ACIAR)","Australian Centre for International Agricultural Research","Australian Centre for International Agricultural Research","exact"
"Australian Charities and Not-for-profits Commission","Australian Charities and Not-for-profits Commission","Australian Charities and Not-for-profits Commission","exact"
"Australian Charities and Not-for-profits Commission (ACNC)","Australian Charities and Not-for-profits Commission","Australian Charities and Not-for-profits Commission","exact"
"Australian Children's Education and Care Quality","Australian Children's Education and Care Quality Authority","Australian Children's Education and Care Quality Authority","manual"
"Australian Children's Education and Care Quality Authority","Australian Children's Education and Care Quality Authority","Australian Children's Education and Care Quality Authority","exact"
"Australian Commission for Law Enforcement Integrity","Australian Commission for Law Enforcement Integrity","NACC","exact"
"Australian Commission on Safety and Quality in","Australian Commission on Safety and Quality in Health Care","Australian Commission on Safety and Quality in Health Care","manual"
"Australian Commission on Safety and Quality in Health Care (ACSQHC)","Australian Commission on Safety and Quality in Health Care","Australian Commission on Safety and Quality in Health Care","exact"
"Australian Communications and Media Authority","Australian Communications and Media Authority","Australian Communications and Media Authority","exact"
"Australian Competition and Consumer Commission","Australian Competition and Consumer Commission","Australian Competition and Consumer Commission","exact"
"Australian Criminal Intelligence Commission (ACIC)","Australian Criminal Intelligence Commission","Australian Criminal Intelligence Commission","exact"
"Australian Curriculum, Assessment and Reporting","Australian Curriculum, Assessment and Reporting Authority","Australian Curriculum, Assessment and Reporting Authority","manual"
"Australian Curriculum, Assessment and Reporting Authority (ACARA)","Australian Curriculum, Assessment and Reporting Authority","Australian Curriculum, Assessment and Reporting Authority","exact"
"Australian Digital Health Agency","Australian Digital Health Agency","Australian Digital Health Agency","exact"
"Australian Electoral Commission","Australian Electoral Commission","Australian Electoral Commission","exact"
"Australian Federal Police","Australian Federal Police","Australian Federal Police","exact"
"Australian Financial Security Authority","Australian Financial Security Authority","Australian Financial Security Authority","exact"
"Australian Fisheries Management Authority","Australian Fisheries Management Authority","Australian Fisheries Management Authority","exact"
"Australian Government Solicitor","Australian Government Solicitor","Australian Government Solicitor","exact"
"Australian Human Rights Commission","Australian Human Rights Commission","Australian Human Rights Commission","exact"
"Australian Institute Of Marine Science","Australian Institute of Marine Science","Australian Institute of Marine Science","exact"
"Australian Institute for Teaching and School","Australian Institute for Teaching and School Leadership","Australian Institute for Teaching and School Leadership","manual"
"Australian Institute of Aboriginal and Torres Strait","Australian Institute of Aboriginal and Torres Strait Islander Studies","Australian Institute of Aboriginal and Torres Strait Islander Studies","manual"
"Australian Institute of Aboriginal and Torres Strait Islander Studies","Australian Institute of Aboriginal and Torres Strait Islander Studies","Australian Institute of Aboriginal and Torres Strait Islander Studies","exact"
"Australian Institute of Family Studies","Australian Institute of Family Studies","Australian Institute of Family Studies","exact"
"Australian Institute of Health and Welfare","Australian Institute of Health and Welfare","Australian Institute of Health and Welfare","exact"
"Australian Law Reform Commission","Australian Law Reform Commission","Australian Law Reform Commission","exact"
"Australian Maritime Safety Authority","Australian Maritime Safety Authority","Australian Maritime Safety Authority","exact"
"Australian National Maritime Museum","Australian National Maritime Museum","Australian National Maritime Museum","exact"
"Australian Naval Nuclear Power Safety Regulator","Australian Naval Nuclear Power Safety Regulator","Australian Naval Nuclear Power Safety Regulator","exact"
"Australian Nuclear Science and Technology Organisation","Australian Nuclear Science and Technology Organisation","Australian Nuclear Science and Technology Organisation","exact"
"Australian Office of Financial Management","Australian Office of Financial Management","Australian Office of Financial Management","exact"
"Australian Pesticides and Veterinary Medicines","Australian Pesticides and Veterinary Medicines Authority","Australian Pesticides and Veterinary Medicines Authority","manual"
"Australian Pesticides and Veterinary Medicines Authority","Australian Pesticides and Veterinary Medicines Authority","Australian Pesticides and Veterinary Medicines Authority","exact"
"Australian Prudential Regulatory Authority","Australian Prudential Regulation Authority","Australian Prudential Regulation Authority","manual"
"Australian Public Service Commission","Australian Public Service Commission","Australian Public Service Commission","exact"
"Australian Radiation Protection and Nuclear Safety","Australian Radiation Protection and Nuclear Safety Agency","Australian Radiation Protection and Nuclear Safety Agency","manual"
"Australian Radiation Protection and Nuclear Safety Agency","Australian Radiation Protection and Nuclear Safety Agency","Australian Radiation Protection and Nuclear Safety Agency","exact"
"Australian Secret Intelligence Service","Australian Secret Intelligence Service","Australian Secret Intelligence Service","exact"
"Australian Securities and Investments Commission","Australian Securities and Investments Commission","Australian Securities and Investments Commission","exact"
"Australian Security Intelligence Organisation","Australian Security Intelligence Organisation","Australian Security Intelligence Organisation","exact"
"Australian Signals Directorate","Australian Signals Directorate","Australian Signals Directorate","exact"
"Australian Skills Quality Authority (ASQA)","Australian Skills Quality Authority","Australian Skills Quality Authority","exact"
"Australian Sports Anti-Doping Authority","Australian Sports Anti-Doping Authority","Sport Integrity Australia","exact"
"Australian Sports Commission","Australian Sports Commission","Australian Sports Commission","exact"
"Australian Strategic Policy Institute","Australian Strategic Policy Institute","Australian Strategic Policy Institute","exact"
"Australian Submarine Agency","Australian Submarine Agency","Australian Submarine Agency","exact"
"Australian Taxation Office","Australian Taxation Office","Australian Taxation Office","exact"
"Australian Transaction Reports and Analysis Centre","Australian Transaction Reports and Analysis Centre","Australian Transaction Reports and Analysis Centre","exact"
"Australian Transaction Reports and Analysis Centre (AUSTRAC)","Australian Transaction Reports and Analysis Centre","Australian Transaction Reports and Analysis Centre","exact"
"Australian Transport Safety Bureau","Australian Transport Safety Bureau","Australian Transport Safety Bureau","exact"
